BillNumber,ChapterNumber,CrossfileBillNumber,SponsorPrimary,Sponsors,Synopsis,Title,Status,CommitteePrimaryOrigin,CommitteeSecondaryOrigin,CommitteePrimaryOpposite,CommitteeSecondaryOpposite,FirstReadingDateHouseOfOrigin,HearingDateTimePrimaryHouseOfOrigin,HearingDateTimeSecondaryHouseOfOrigin,ReportDateHouseOfOrigin,ReportActionHouseOfOrigin,SecondReadingDateHouseOfOrigin,SecondReadingActionHouseOfOrigin,ThirdReadingDateHouseOfOrigin,ThirdReadingActionHouseOfOrigin,FirstReadingDateOppositeHouse,HearingDateTimePrimaryOppositeHouse,HearingDateTimeSecondaryOppositeHouse,ReportDateOppositeHouse,ReportActionOppositeHouse,SecondReadingDateOppositeHouse,SecondReadingActionOppositeHouse,ThirdReadingDateOppositeHouse,ThirdReadingActionOppositeHouse,InteractionBetweenChambers,PassedByMGA,EmergencyBill,ConstitutionalAmendment,BroadSubjects,NarrowSubjects,BillType,BillVersion,Statutes,YearAndSession,StatusCurrentAsOf
HB0003,CH0028,SB0054,Delegate Davis,[{'Name': 'Delegate Davis'}],"Expanding the types of motor vehicle liability insurers that may exclude coverage to operators providing transportation network services; prohibiting a person from operating a transportation network company in the State without a permit from the Public Service Commission; providing that before December 15, 2016, the Commission may not require an applicant for a for-hire driver's license or transportation network operator's license to comply with a specified criminal history records check; etc.",Public Utilities - Transportation Network Services and For-Hire Transportation - Clarifications,"Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 28",Economic Matters,,Finance,,2016-01-13,2016-01-21T15:00:00,,2016-01-27,Favorable with Amendments,2016-01-28,Passed with Amendments,2016-02-02,Passed,2016-02-03,2016-03-24T13:00:00,,2016-03-28,Favorable with Amendments,2016-03-25,Passed with Amendments,2016-03-26,Passed with Amendments,Concurred,True,True,False,"[{'Code': 'c5', 'Name': 'Utility Regulation'}]","[{'Code': 'adminia', 'Name': 'Administrative Agencies -see also- Electronic Government'}, {'Code': 'assessments', 'Name': 'Assessments'}, {'Code': 'commitc', 'Name': 'Committees and Commissions -see also- Political Committees'}, {'Code': 'comptroller', 'Name': 'Comptroller'}, {'Code': 'consump', 'Name': 'Consumer Protection -see also- Unfair Trade Practices'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties'}, {'Code': 'criminbi', 'Name': 'Criminal Background Investigations'}, {'Code': 'disclosure', 'Name': 'Disclosure'}, {'Code': 'driverl', 'Name': ""Drivers' Licenses""}, {'Code': 'emergeb', 'Name': 'Emergency Bills'}, {'Code': 'equipment', 'Name': 'Equipment -see also- Motor Vehicle Equipment'}, {'Code': 'forhird', 'Name': 'For-Hire Driving -see also- Taxicabs'}, {'Code': 'hearings', 'Name': 'Hearings'}, {'Code': 'inspections', 'Name': 'Inspections -see also- Motor Vehicle Inspection'}, {'Code': 'insurance', 'Name': 'Insurance -see also- Health Ins; MAIF; Motor Vehicle Ins'}, {'Code': 'intersa', 'Name': 'Interstate Affairs'}, {'Code': 'jurisdiction', 'Name': 'Jurisdiction'}, {'Code': 'liability', 'Name': 'Liability -see also- Good Samaritan'}, {'Code': 'licenses', 'Name': ""Licenses -see also- Alcoholic Bev Lic; Drivers' Licenses""}, {'Code': 'motorv', 'Name': 'Motor Vehicles -see also- Aband Veh; Ambulances; Buses; etc.'}, {'Code': 'motorve', 'Name': 'Motor Vehicle Equipment'}, {'Code': 'motorvinsur', 'Name': 'Motor Vehicle Insurance -see also- MD Auto Insurance Fund'}, {'Code': 'motorvo', 'Name': 'Motor Vehicle Operation'}, {'Code': 'motorvr', 'Name': 'Motor Vehicle Registration'}, {'Code': 'municic', 'Name': 'Municipal Corporations -see also- Annap; Balt; Hager; OC'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'publicsc', 'Name': 'Public Service Commission'}, {'Code': 'records', 'Name': 'Records -see also- Land Records; Vital Records'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- Dev Fees &Taxes; specific tax'}, {'Code': 'taxcm', 'Name': 'Tax Court, Maryland'}, {'Code': 'taxicabs', 'Name': 'Taxicabs'}, {'Code': 'transport', 'Name': 'Transportation -see also- Aircraft; Airports; Boats; etc'}]",Pre-Filed,E,"[{'Article': {'Code': 'acts', 'Title': 'Chapter of the Acts'}, 'Sections': [{'Section': '2015'}]}, {'Article': {'Code': 'gin', 'Title': 'Insurance'}, 'Sections': [{'Section': '19-517'}, {'Section': '19-517.1'}]}, {'Article': {'Code': 'gpu', 'Title': 'Public Utilities'}, 'Sections': [{'Section': '10-101'}, {'Section': '10-104.1'}, {'Section': '10-110'}, {'Section': '10-112'}, {'Section': '10-210'}, {'Section': '10-403.1'}, {'Section': '10-404'}, {'Section': '10-406'}, {'Section': '10-502'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0009,CH0245,SB0064,Baltimore County Delegation,[{'Name': 'Baltimore County Delegation'}],Repealing provisions of law that establish the annual compensation of the judges of the Orphans' Court for Baltimore County; requiring the annual compensation of the judges of the Orphans' Court for Baltimore County to be set by the County Executive and the County Council in accordance with specified provisions of the Baltimore County Code; applying the Act to the salary or compensation of the judges of the Orphans' Court for Baltimore County at the beginning of the next following term of office with specified exceptions; etc.,Baltimore County - Orphans' Court Judges - Compensation,Approved by the Governor - Chapter 245,Health and Government Operations,,Judicial Proceedings,,2016-01-13,2016-03-02T13:00:00,,2016-03-15,Favorable,2016-03-13,Passed,2016-03-18,Passed,2016-03-19,,,2016-04-04,Favorable,2016-03-28,Passed,2016-03-29,Passed,Returned Passed,True,False,False,"[{'Code': 'n2', 'Name': 'Estates and Trusts'}]","[{'Code': 'baltimco', 'Name': 'Baltimore County'}, {'Code': 'countyco', 'Name': 'County Councils'}, {'Code': 'countye', 'Name': 'County Executives'}, {'Code': 'judges', 'Name': 'Judges'}, {'Code': 'orphanc', 'Name': ""Orphans' Court""}, {'Code': 'salaric', 'Name': 'Salaries and Compensation -see also- Overtime; Reimb. Rates'}]",Pre-Filed,T,"[{'Article': {'Code': 'get', 'Title': 'Estates and Trusts'}, 'Sections': [{'Section': '2-108'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0011,CH0326,SB0001,Delegate Hill,[{'Name': 'Delegate Hill'}],"Altering the circumstances under which insurers, nonprofit health service plans, and health maintenance organizations must provide benefits for expenses arising from in vitro fertilization procedures; providing an exception to the required use of a spouse's sperm to fertilize the oocytes of a patient whose spouse is of the opposite sex; and providing the Act shall apply to all policies, contracts, and health benefit plans issued, delivered, renewed, or in force in the State on or after July 1, 2016.",Health Insurance - In Vitro Fertilization - Use of Spouse's Sperm - Exception,Approved by the Governor - Chapter 326,Health and Government Operations,,Finance,,2016-01-13,2016-01-28T13:00:00,,2016-02-16,Favorable with Amendments,2016-02-17,Passed with Amendments,2016-02-19,Passed,2016-02-22,2016-03-24T13:00:00,,2016-03-28,Favorable,2016-03-25,Passed,2016-03-26,Passed,Returned Passed,True,False,False,"[{'Code': 'c3', 'Name': 'Insurance - Health'}]","[{'Code': 'health', 'Name': 'Health -see also- Mental Health'}, {'Code': 'healthi', 'Name': 'Health Insurance -see also- HMOS; Managed Care Organizations'}, {'Code': 'healthmo', 'Name': 'Health Maintenance Organizations -see also- Manage Care Orgs'}, {'Code': 'marriage', 'Name': 'Marriage'}, {'Code': 'patients', 'Name': 'Patients'}, {'Code': 'pregnancy', 'Name': 'Pregnancy'}, {'Code': 'sexualor', 'Name': 'Sexual Orientation'}, {'Code': 'women', 'Name': 'Women'}]",Pre-Filed,T,"[{'Article': {'Code': 'gin', 'Title': 'Insurance'}, 'Sections': [{'Section': '15-810'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0014,CH0657,SB0058,Delegate Kipke,[{'Name': 'Delegate Kipke'}],"Making permanent a $15,000 limit on the amount of the vessel excise tax that may be imposed on any vessel; and requiring that the maximum amount of the excise tax imposed for any vessel be increased by $100 on July 1, 2016 and July 1 of each subsequent year.",Natural Resources - Vessel Excise Tax Cap - Amount and Repeal of Termination,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 657",Ways and Means,,Budget and Taxation,,2016-01-13,2016-01-27T14:00:00,,2016-03-17,Favorable with Amendments,2016-03-15,Passed with Amendments,2016-03-16,Passed,2016-03-18,2016-03-29T13:00:00,,2016-04-04,Favorable,2016-03-30,Passed,2016-03-31,Passed,Returned Passed,True,False,False,"[{'Code': 'q7', 'Name': 'Taxes - Miscellaneous'}, {'Code': 'm1', 'Name': 'Natural Resources - Generally'}]","[{'Code': 'boatss', 'Name': 'Boats and Ships'}, {'Code': 'exciset', 'Name': 'Excise Tax'}, {'Code': 'sunset', 'Name': 'Sunset'}, {'Code': 'titles', 'Name': 'Titles'}]",Pre-Filed,T,"[{'Article': {'Code': 'acts', 'Title': 'Chapter of the Acts'}, 'Sections': [{'Section': '2013'}]}, {'Article': {'Code': 'gnr', 'Title': 'Natural Resources'}, 'Sections': [{'Section': '8-716'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0020,CH0246,,Delegate O'Donnell,"[{'Name': ""Delegate O'Donnell""}]","Establishing for archery hunters in Calvert County and St. Mary's County a specified safety zone extending for 50 yards from a dwelling house, residence, church, or any other building or camp occupied by human beings within which archery hunting may not take place except under specified circumstances.",Calvert County and St. Mary's County - Archery Hunting - Safety Zone,Approved by the Governor - Chapter 246,Environment and Transportation,,"Education, Health, and Environmental Affairs",,2016-01-13,2016-02-17T13:00:00,,2016-02-29,Favorable,2016-03-01,Passed,2016-03-03,Passed,2016-03-04,2016-03-22T13:00:00,,2016-04-05,Favorable,2016-03-31,Passed,2016-04-01,Passed,Returned Passed,True,False,False,"[{'Code': 'm2', 'Name': 'Hunting and Fishing'}]","[{'Code': 'calverc', 'Name': 'Calvert County'}, {'Code': 'hunting', 'Name': 'Hunting -see also- Trapping'}, {'Code': 'safety', 'Name': 'Safety -see also- Occupational Safety'}, {'Code': 'stmaryc', 'Name': ""St. Mary's County""}, {'Code': 'weapons', 'Name': 'Weapons -see also- Guns'}]",Pre-Filed,T,"[{'Article': {'Code': 'gnr', 'Title': 'Natural Resources'}, 'Sections': [{'Section': '10-410'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0022,CH0520,SB0147,Delegate Krimm,[{'Name': 'Delegate Krimm'}],"Altering the membership of the Steering Committee of the Ethan Saylor Alliance for Self-Advocates as Educators: requiring the Steering Committee to review, or request that the Alliance review, the content and monitor the implementation of the training objectives and curriculum adopted by the Police Training Commission for a community inclusion training program at least once every 4 years or more frequently if requested by the Commission.",Ethan Saylor Alliance for Self-Advocates as Educators - Membership and Duties - Community Inclusion Training Oversight,Approved by the Governor - Chapter 520,Health and Government Operations,,Finance,,2016-01-13,2016-01-26T13:00:00,,2016-02-16,Favorable with Amendments,2016-02-17,Passed with Amendments,2016-02-19,Passed,2016-02-22,2016-03-24T13:00:00,,2016-03-28,Favorable,2016-03-25,Passed,2016-03-26,Passed,Returned Passed,True,False,False,"[{'Code': 'o3', 'Name': 'Disabled'}, {'Code': 'e4', 'Name': 'Public Safety'}]","[{'Code': 'adminia', 'Name': 'Administrative Agencies -see also- Electronic Government'}, {'Code': 'commitc', 'Name': 'Committees and Commissions -see also- Political Committees'}, {'Code': 'disabilities', 'Name': 'Disabilities -see also- Blind; Deaf; Developmental'}, {'Code': 'education', 'Name': 'Education -see also- Driver Ed; Higher Ed; Special Ed; etc'}, {'Code': 'jobt', 'Name': 'Job Training'}, {'Code': 'policetc', 'Name': 'Police Training Commission'}]",Pre-Filed,T,"[{'Article': {'Code': 'ghu', 'Title': 'Human Services'}, 'Sections': [{'Section': '7-128'}, {'Section': '7-131'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0036,CH0607,,Baltimore City Delegation,[{'Name': 'Baltimore City Delegation'}],"Exempting a demolition or partial demolition of a school building under the Baltimore City Public Schools' 10-year Plan from specified notice requirements; altering the definition of ""vacant dwelling"" for purposes of property tax credits against the property tax imposed on specified vacant dwellings and newly constructed dwellings located in Baltimore City; authorizing the Mayor and City Council of Baltimore City to grant a property tax credit against property tax imposed on property in specified neighborhoods in Baltimore City; etc.",Rebuilding Baltimore City Communities Act of 2016,Approved by the Governor - Chapter 607,Ways and Means,,Budget and Taxation,,2016-01-13,2016-01-27T14:00:00,,2016-03-21,Favorable with Amendments,2016-03-18,Passed with Amendments,2016-03-19,Passed,2016-03-20,2016-03-29T13:00:00,,2016-04-06,Favorable with Amendments,2016-03-31,Passed with Amendments,2016-04-01,Passed with Amendments,Conference Committee Appointed,True,False,False,"[{'Code': 'q2', 'Name': 'Taxes - Property - Local'}]","[{'Code': 'abandop', 'Name': 'Abandoned Property'}, {'Code': 'baltimci', 'Name': 'Baltimore City'}, {'Code': 'corporations', 'Name': 'Corporations -see also- Municipal Corps; Public Corps & Inst'}, {'Code': 'homei', 'Name': 'Home Improvement'}, {'Code': 'leasesr', 'Name': 'Leases and Rent'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'propert', 'Name': 'Property Tax'}, {'Code': 'publico', 'Name': 'Public Officials -see also- Atty Gen; Compt; Coun Admin; etc'}, {'Code': 'realp', 'Name': 'Real Property'}, {'Code': 'taxc', 'Name': 'Tax Credits -see also- Circuit Breaker'}, {'Code': 'urbanr', 'Name': 'Urban Renewal -see also- Commercial Rehabilitation'}]",Pre-Filed,E,"[{'Article': {'Code': 'gec', 'Title': 'Economic Development'}, 'Sections': [{'Section': '10-645'}]}, {'Article': {'Code': 'gtp', 'Title': 'Tax - Property'}, 'Sections': [{'Section': '9-304'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0037,CH0328,SB0008,Anne Arundel County Delegation,[{'Name': 'Anne Arundel County Delegation'}],Altering the due date for specified payment of deferred county property taxes in Anne Arundel County if the owner no longer satisfies specified income eligibility requirements; and making clarifying changes to provisions of law that require payment of specified deferred county property taxes under specified circumstances.,Anne Arundel County - Property Tax Deferrals - Payment Due Date,Approved by the Governor - Chapter 328,Ways and Means,,Budget and Taxation,,2016-01-13,2016-01-27T14:00:00,,2016-03-16,Favorable with Amendments,2016-03-14,Passed with Amendments,2016-03-15,Passed,2016-03-18,2016-03-29T13:00:00,,2016-04-04,Favorable,2016-03-30,Passed,2016-03-31,Passed,Returned Passed,True,False,False,"[{'Code': 'q2', 'Name': 'Taxes - Property - Local'}]","[{'Code': 'anneac', 'Name': 'Anne Arundel County'}, {'Code': 'propert', 'Name': 'Property Tax'}, {'Code': 'realp', 'Name': 'Real Property'}]",Pre-Filed,T,"[{'Article': {'Code': 'gtp', 'Title': 'Tax - Property'}, 'Sections': [{'Section': '10-204.6'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0039,CH0247,SB0224,"Delegate Miller, A.","[{'Name': 'Delegate Miller, A.'}]",Establishing the Orange Ribbon for Healthy School Hours certification within the State Department of Education beginning in the 2017-2018 school year; providing that the purpose of the Orange Ribbon for Healthy School Hours certification is to recognize local school systems with start times that are consistent with the school start times recommended by the Department and specified organizations; requiring the Department to grant certification to a local school system that qualifies by meeting specified requirements; etc.,Education - Orange Ribbon for Healthy School Hours - Establishment,Approved by the Governor - Chapter 247,Ways and Means,,"Education, Health, and Environmental Affairs",,2016-01-13,2016-01-28T14:00:00,,2016-03-19,Favorable with Amendments,2016-03-17,Passed with Amendments,2016-03-18,Passed,2016-03-19,,,2016-04-11,Favorable with Amendments,2016-04-04,Passed with Amendments,2016-04-05,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'f1', 'Name': 'Primary and Secondary Education'}]","[{'Code': 'educatb', 'Name': 'Education, Boards of'}, {'Code': 'education', 'Name': 'Education -see also- Driver Ed; Higher Ed; Special Ed; etc'}, {'Code': 'educatsb', 'Name': 'Education, State Board of'}, {'Code': 'educatsd', 'Name': 'Education, State Department of'}, {'Code': 'health', 'Name': 'Health -see also- Mental Health'}, {'Code': 'licenses', 'Name': ""Licenses -see also- Alcoholic Bev Lic; Drivers' Licenses""}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'publici', 'Name': 'Public Information'}, {'Code': 'publics', 'Name': 'Public Schools'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'safety', 'Name': 'Safety -see also- Occupational Safety'}, {'Code': 'students', 'Name': 'Students'}, {'Code': 'time', 'Name': 'Time'}]",Pre-Filed,E,"[{'Article': {'Code': 'ged', 'Title': 'Education'}, 'Sections': [{'Section': '7-121'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
HB0046,CH0248,,Delegate Chang,[{'Name': 'Delegate Chang'}],"Prohibiting a specified animal control unit from selling, placing or destroying a specified impounded animal until the animal has been carefully inspected for a microchip; requiring a specified animal control unit to make a reasonable effort to notify the owner of the location of and procedure for retrieving an impounded animal; and providing specified penalties.",Animal Control Units - Impounded Animals - Identification,Approved by the Governor - Chapter 248,Environment and Transportation,,Judicial Proceedings,,2016-01-13,2016-02-17T13:00:00,,2016-03-16,Favorable with Amendments,2016-03-13,Passed with Amendments,2016-03-14,Passed,2016-03-18,2016-03-30T13:00:00,,2016-04-11,Favorable,2016-04-05,Passed,2016-04-06,Passed,Returned Passed,True,False,False,"[{'Code': 'm4', 'Name': 'Agriculture'}, {'Code': 'l6', 'Name': 'Local Government - Generally'}]","[{'Code': 'animals', 'Name': 'Animals -see also- Birds; Turtles'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes; Reimb Rates""}, {'Code': 'fines', 'Name': 'Fines -see also- Penalties and Sentences'}, {'Code': 'identificatio', 'Name': 'Identification'}, {'Code': 'localgm', 'Name': 'Local Government Mandates'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}, {'Code': 'records', 'Name': 'Records -see also- Land Records; Vital Records'}, {'Code': 'registration', 'Name': 'Registration -see also- Motor Vehicle Registration'}, {'Code': 'veterinarians', 'Name': 'Veterinarians'}]",Pre-Filed,T,"[{'Article': {'Code': 'gcr', 'Title': 'Criminal Law'}, 'Sections': [{'Section': '10-617'}]}]",2016 Regular Session,2019-10-22T15:11:33.903
