YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2025 Regular Session,HB0001,"Department of Transportation - Human Trafficking Awareness, Training, and Response (See Someone, Save Someone Act)","Requiring the Maryland Department of Transportation to develop or identify and implement a training program for transportation sector employees on the identification and reporting of suspected human trafficking victims; requiring transportation sector employers to certify by January 1, 2027, and each year thereafter that certain employees have completed the training program; requiring new employees to receive training within 90 days of hiring; removing civil and criminal liability for reporting of suspected trafficking; etc.","The bill requires the Maryland Department of Transportation to develop and implement training programs for transportation-sector employees on identifying and reporting human trafficking. It also mandates employers to certify employee training completion, establish reporting procedures, and implement prevention policies, including public service announcements at transit locations.",Maryland Department of Transportation,"Transportation-sector employees, transit agencies, and potential victims of human trafficking in Maryland","The bill's focus is on training and policies related to human trafficking awareness, with no direct impact on small business failure rates.",1.0
2025 Regular Session,HB0003,State Board of Physical Therapy Examiners - Revisions,"Clarifying the definition of ""physical therapist assistant"" as used in the Maryland Physical Therapy Act to mean an individual licensed by the State Board of Physical Therapy Examiners; increasing the membership of the State Board of Physical Therapy Examiners from 8 to 9; and requiring the Board to send renewal notices to licensees by electronic means, rather than first-class mail, unless the licensee requests to receive the renewal notice by first-class mail.","The bill clarifies the definition of 'physical therapist assistant', modifies the membership of the State Board of Physical Therapy Examiners, and changes the method of sending renewal notices to licensees from first-class mail to electronic means, with provisions for mailing by first-class if electronic delivery fails.",The Maryland State Board of Physical Therapy Examiners,Licensed physical therapists and physical therapist assistants in Maryland,The bill's changes to licensing and renewal processes are unlikely to have a significant impact on small business failure rates.,2.0
2025 Regular Session,HB0004,Restrictions on Use - Solar Collector Systems - Alteration,Prohibiting a restriction on land use that increases the cost of installing a solar collector system by at least 5% over a certain cost or that reduces the efficiency of the system by at least 10% under a certain energy generation level; authorizing a community association to impose certain restrictions on the installation of solar collector systems in common areas or common elements; authorizing a community association to install a solar collector system in common areas or common elements under certain circumstances; etc.,"The bill prohibits unreasonable restrictions on the installation of solar collector systems on private property, defines what constitutes unreasonable restrictions, and allows community associations to impose reasonable restrictions or prohibit installation in common areas. It also establishes rules for solar easements.",Maryland Department of Housing and Community Development or local community associations,"Property owners, community associations, solar energy system installers, and residents in Maryland communities","By clarifying restrictions and providing guidelines for solar system installation, the bill may reduce legal and regulatory barriers, potentially lowering failure rates for small solar installation businesses.",7.0
2025 Regular Session,HB0009,Public Safety - Food System Resiliency Council - Definitions and Reports,"Altering certain definitions related to the Food Resiliency Council; defining what constitutes ""healthy food priority areas"" as predominantly lower-income areas that have limited access to retail outlets that sell, affordable, healthy foods; defining ""wasted food"" as food not used for its intended purpose; requiring the Council to make recommendations to increase the availability of local foods, create market opportunities for Maryland food businesses, and expand access to small scale food production infrastructure; etc.","The bill establishes the Maryland Food System Resiliency Council to address food insecurity, promote local food production, reduce food waste, and improve access to healthy foods, especially in underserved areas. It sets reporting requirements and strategic planning to enhance the state's food system resilience.",Maryland Food System Resiliency Council within the Office of Resilience in the Department of Emergency Management.,"Residents of Maryland, especially those in food insecure and low-income areas, local food businesses, schools, and food organizations.","The bill aims to create additional market opportunities and expand local food infrastructure, which could help small food businesses succeed and reduce their failure rate.",7.0
2025 Regular Session,HB0011,"Health Insurance - Access to Nonparticipating Providers - Referrals, Additional Assistance, and Coverage","Repealing the June 30, 2025, termination date for certain provisions of law related to referrals to and reimbursement of specialists and nonphysician specialists who are not part of a carrier's provider panel; prohibiting certain carriers from imposing utilization review requirements other than would be required if the covered benefit was provided by a provider on the carrier's provider panel under certain circumstances; etc.","The bill repeals the sunset date for laws requiring insurers to establish procedures for members to request referrals to specialists and nonphysician specialists outside of provider panels, especially for mental health and substance use disorder services. It also mandates insurers to assist members in finding and arranging coverage for such specialists, prohibits certain prior authorization requirements, and sets a timeline for establishing reimbursement rates for nonparticipating providers.","Maryland Health Care Commission and health insurance carriers (insurers, nonprofit health service plans, health maintenance organizations, dental plan organizations)","Members of health insurance plans in Maryland, especially those seeking mental health and substance use disorder services, and healthcare providers including specialists and nonphysician specialists","The bill's provisions are unlikely to have a significant direct impact on small business failure rates, as it primarily affects insurance procedures and provider reimbursements.",2.0
2025 Regular Session,HB0012,Cannabis - Sale and Distribution - Tetrahydrocannabinol Offenses,"Authorizing the officers and employees of the Field Enforcement Division of the Alcohol, Tobacco, and Cannabis Commission to issue a citation for a violation of §10-108 of the Criminal Law Article; prohibiting the sale or distribution of certain products that contain tetrahydrocannabinol or are advertised as containing tetrahydrocannabinol; authorizing the Executive Director of the Commission to seize, destroy, or confiscate a certain unlawful product; etc.","The bill updates Maryland laws regarding the sale, distribution, and regulation of tetrahydrocannabinol (THC) and related products, including enforcement provisions, licensing requirements, and penalties for violations.","The Maryland Office of the Executive Director of the Alcohol, Tobacco, and Cannabis Commission, specifically the Field Enforcement Division.","Cannabis businesses, consumers, and law enforcement agencies in Maryland.","The bill establishes clear licensing, testing, and packaging standards for THC products, which can help legitimate businesses operate within a regulated framework, potentially reducing failures due to legal issues.",7.0
2025 Regular Session,HB0015,Corporations and Associations - Limited Worker Cooperative Associations - Authorization (Maryland Limited Worker Cooperative Association Act),"Authorizing the formation of limited worker cooperative associations; and establishing rules and procedures for the formation, governance, conversion, and dissolution of limited worker cooperative associations.","The bill authorizes the formation of limited worker cooperative associations in Maryland, establishing rules for their formation, governance, conversion, and dissolution, and creating a new legal framework for these entities.","Maryland Department of Assessments and Taxation, Maryland Insurance Commissioner, and other relevant state agencies involved in business registration, insurance regulation, and taxation.","Workers and members of cooperative associations, small business owners, and entrepreneurs interested in forming worker cooperatives in Maryland.","The bill provides a clear legal structure for worker cooperatives, which can help reduce business failure by offering a stable legal and operational framework.",7.0
2025 Regular Session,HB0018,Vehicle Laws - Noise Abatement Monitoring Systems Pilot Program - Inspection and Extension,Establishing that certain provisions of law relating to the inspection of recorded images apply to recorded images produced by a noise abatement monitoring system; and extending by 2 years the reporting and termination dates of the noise abatement monitoring systems pilot programs in Montgomery County and Prince George's County.,"The bill extends the pilot programs for noise abatement monitoring systems in Montgomery County and Prince George's County, including systems that record images related to noise violations, and clarifies the inspection and access rules for recorded images from various monitoring systems.",Maryland Department of Transportation or local county agencies implementing noise monitoring systems.,"Residents and motorists in Montgomery County and Prince George's County, especially those affected by noise violations and monitoring systems.",The bill's focus is on noise monitoring systems and does not directly address small business failure rates.,1.0
2025 Regular Session,HB0019,"Health Occupations - Nursing - Loan Repayment, Education, and Sunset Extension (Building Opportunities for Nurses Act of 2025)",Expanding the purpose of the Maryland Loan Assistance Repayment Program for Nurses and Nursing Support Staff; requiring the Department to prioritize funding for nurses or nursing support staff who practice in an area with a shortage of nurses or nursing support staff or who practice in a specialty where a shortage has been identified; altering certain education requirements for licensure; repealing a certain requirement that the State Board of Nursing approve certain nursing assistant training program sites within a certain time period; etc.,"The bill extends and modifies the Maryland Loan Assistance Repayment Program for nurses, including expanding eligibility, adjusting education and licensure requirements, and extending the program's sunset date to 2030. It also updates regulations for nursing assistant training and certification, and provides tax credits for healthcare preceptors in shortage areas.",Maryland Department of Health and the Maryland Board of Nursing,"Nurses, nursing support staff, nursing students, healthcare facilities, and residents in shortage areas of healthcare workforce in Maryland.","The bill includes provisions that support healthcare workforce development, which can indirectly reduce small business failure by improving healthcare staffing and services, but it does not directly target small business failure rates.",4.0
2025 Regular Session,HB0022,Department of Public Safety and Correctional Services - Study on Location of Individuals Prior to and Following Incarceration,"Requiring the Department of Public Safety and Correctional Services to conduct an annual study examining and comparing certain data regarding an individual's residence prior to incarceration and on release from a State correctional facility; and requiring the Department by October 1, 2026, and each October 1 thereafter, to report the results of the study to certain committees of the General Assembly.","The bill requires the Maryland Department of Public Safety and Correctional Services to conduct a study on the residence locations of individuals before and after incarceration, including data on their residence prior to incarceration, at release, and transfer details, with reports due annually starting October 1, 2026.",Maryland Department of Public Safety and Correctional Services,Individuals incarcerated in Maryland correctional facilities and the communities they return to after release.,The bill does not directly address small businesses or their failure rates.,1.0
