YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2024 Regular Session,HB0001,Maryland Paint Stewardship,"Requiring producers of architectural paint or a representative organization to submit a plan for the establishment of a Paint Stewardship Program to the Department of the Environment by July 1, 2025, and in accordance with certain requirements; requiring the Department to review and approve certain plans, including a certain assessment; prohibiting the sale of certain architectural paint beginning January 1, 2026 unless an approved Paint Stewardship Program has been implemented by certain producers; etc.","The bill establishes a Paint Stewardship Program in Maryland requiring producers of architectural paint to submit plans for managing postconsumer paint, including assessments to fund collection and recycling efforts. It sets rules for program implementation, funding, and reporting, and aims to improve paint waste management and recycling.",True,2024,2028,2000000.0,Department of the Environment,"Producers, retailers, and consumers of architectural paint in Maryland",The program could improve access to capital for small businesses involved in paint collection and recycling by establishing a structured stewardship and funding mechanism.,7.0
2024 Regular Session,HB0002,Property Taxes - Authority of Counties to Establish a Subclass and Set a Special Rate for Vacant and Abandoned Property,"Authorizing the Mayor and City Council of Baltimore City or the governing body of a county to establish, by law, a subclass of real property consisting of vacant lots or improved property cited as vacant and unfit for habitation or other authorized use on a certain violation notice and to set a special property tax rate for certain vacant and abandoned property; requiring the Mayor and City Council of Baltimore City or the governing body of a county that enacts a special tax rate to submit a certain report by December 1 each year; etc.","The bill authorizes Baltimore City and counties to establish a special property tax rate for vacant and abandoned properties, and requires annual reporting on these rates and their impact.",True,2024,0,0.0,Baltimore City and county governments,"Property owners of vacant and abandoned properties, local governments, and communities affected by vacant properties","The program could potentially improve the financial environment for rehabilitating vacant properties, indirectly aiding access to capital for property owners.",4.0
2024 Regular Session,HB0004,Institutions of Higher Education - Admissions Standards - Prohibition on Consideration of Legacy Preference or Donor Preference,Prohibiting institutions of higher education that receive State funds from considering a legacy preference or donor preference as an eligible criterion for admissions standards at the institution; and allowing an institution of higher education to ask applicants for information regarding familial relationships to alums of the institution for data collection purposes.,The bill prohibits institutions of higher education in Maryland that receive state funds from considering legacy or donor preferences as criteria for admissions.,False,2024,2024,0.0,Institutions of higher education receiving state funds in Maryland,"Applicants to Maryland higher education institutions, especially those affected by legacy and donor preferences",The bill does not directly impact access to capital for small business owners; it focuses on admissions policies.,1.0
2024 Regular Session,HB0005,Criminal Law - Indecent Exposure Within the Presence of a Minor,"Prohibiting a person from committing the common law crime of indecent exposure; prohibiting a person from, with prurient intent, committing the common law crime of indecent exposure when the person knows or reasonably should know that a minor is present and the minor is at least 2 years old and is more than 4 years younger than the person; and establishing a penalty of 5 years of imprisonment or a fine of up to $10,000 or both on conviction for a crime of indecent exposure in the presence of a minor.",This bill updates Maryland law to prohibit indecent exposure when a person with prurient intent knows or reasonably should know that a minor aged at least 2 years old and more than 4 years younger than the person is present. It increases penalties for violations involving minors.,False,2024,2024,0.0,Maryland Department of Public Safety and Correctional Services,"General public, minors, law enforcement",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0007,Housing Innovation Pilot Program and Housing Innovation Fund - Establishment (Housing Innovation Pilot Program Act of 2024),"Establishing the Housing Innovation Fund to provide loans for local housing authorities and county governments to develop mixed-income, cross-subsidized housing; establishing the Housing Innovation Pilot Program in the Department of Housing and Community Development to assist public housing authorities and county governments in increasing housing production and to reward counties pursuing solutions to the problem of housing scarcity; authorizing the Governor to include an appropriation of $5,000,000 to the Fund in certain fiscal years; etc.","The bill establishes the Housing Innovation Pilot Program and the Housing Innovation Fund to provide loans for developing mixed-income, cross-subsidized housing projects in Maryland, with a focus on increasing housing production and affordability.",True,2024,2029,15000000.0,Department of Housing and Community Development,"Local housing authorities, county governments, and low- to moderate-income households in Maryland",The program has a high potential to improve access to capital for small and local housing projects through loans and financial support.,8.0
2024 Regular Session,HB0013,Residential Property - Affordable Housing Land Trusts - Authority to Establish Condominium Regimes,Authorizing a condominium regime to be established on certain land owned by an affordable housing land trust.,"The bill authorizes the establishment of condominium regimes on properties owned by affordable housing land trusts, allowing for more flexible ownership structures for affordable housing.",True,2024,0,0.0,Maryland State Department of Housing and Community Development,"Affordable housing land trusts, residents of affordable housing, property developers","The bill could facilitate the development and management of affordable housing, potentially improving access to capital for projects involving land trusts and condominium regimes.",6.0
2024 Regular Session,HB0016,Tax Sales - Homeowner Protection Program - Funding,Requiring each collector of property taxes to include with each property tax bill a separate insert that describes the Homeowner Protection Program and encourages taxpayers to make a voluntary donation to the Program through a website maintained by the State Department of Assessments and Taxation.,"The bill establishes the Homeowner Protection Program in Maryland, requiring property tax bills to include information about the program and encouraging voluntary donations to fund it. It creates a dedicated fund supported by donations, tax payments, and state budget allocations, to help prevent low-income, elderly, and disabled homeowners from losing their homes to tax sale foreclosure.",True,2024,2025,2250000.0,Maryland Department of Assessments and Taxation,"Low-income, elderly, and disabled homeowners at risk of tax sale foreclosure in Maryland",The program has a high potential to impact small business owners' access to capital by providing homeowner protections and financial assistance.,8.0
2024 Regular Session,HB0017,Charter Counties - Comprehensive Plans - Affirmatively Furthering Fair Housing,"Altering requirements for the housing element of a charter county's comprehensive plan to include requirements related to affirmatively furthering fair housing; requiring the housing element of a comprehensive plan that is enacted or amended on or after January 1, 2025, to include an assessment of fair housing to ensure that the county is affirmatively furthering fair housing; etc.","The bill requires charter counties in Maryland to include an assessment of fair housing in their comprehensive plans starting January 1, 2025, and mandates that they actively work to further fair housing through their programs. It also incorporates existing fair housing assessments into the planning process for counties that have already completed such assessments.",True,2025,0,0.0,Maryland Department of Planning and Department of Housing and Community Development,"Residents of charter counties, especially those in affordable and fair housing need",The bill's focus on fair housing and comprehensive planning could improve access to capital for underserved populations by promoting equitable housing development.,7.0
2024 Regular Session,HB0019,Natural Resources - Northern Snakehead - Common Name,"Establishing the common name of the northern snakehead as the ""Chesapeake Channa"".",The bill establishes the common name for the northern snakehead fish as 'Chesapeake Channa' and sets regulations for licensing and fishing methods for this species in Maryland.,False,2024,2024,0.0,Maryland Department of Natural Resources,Fishers and the general public interested in fishing and wildlife management in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0022,Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration,"Requiring the State Highway Administration's pollinator habitat plan to include policies and procedures regarding the use of pollinator habitat areas along State highways; requiring the Administration to track and evaluate federal programs that provide funding for pollinator habitats, native plants, and invasive species control and to apply for any funding that the Administration determines appropriate and beneficial to pollinator habitats; requiring the Administration to update the plan by October 1 each year; etc.","The bill requires the Maryland State Highway Administration to include policies for pollinator habitats along highways, track federal funding programs for pollinator-related initiatives, and update its pollinator habitat plan annually. It also establishes guidelines for pesticide use and promotes native plants and public education about pollinator habitats.",True,2024,0,0.0,Maryland State Highway Administration,"Pollinators, local communities, farmers, and the general public","The bill encourages federal funding and grants for pollinator habitats, which could improve access to capital for related projects.",7.0
2024 Regular Session,HB0023,Maryland Health Benefit Exchange - Qualified Health Plans - Dental Coverage,Repealing a certain provision of law providing that a qualified health plan is not required under certain circumstances to provide essential benefits that duplicate the minimum benefits of qualified dental plans; and repealing the authority of the Maryland Health Benefit Exchange to require children enrolling in a qualified health plan to have essential pediatric dental benefits required by the federal Secretary of Health and Human Services.,"The bill repeals certain provisions related to dental and pediatric dental benefits in qualified health plans, and clarifies the requirements for health benefit plans certified by the Maryland Health Benefit Exchange, including the certification process and standards for dental and vision plans, effective from January 1, 2025.",True,2025,2025,0.0,Maryland Health Benefit Exchange,"Individuals enrolling in health plans, especially children requiring pediatric dental benefits, and health insurance carriers in Maryland.","The bill's impact on access to capital is indirect, primarily affecting insurance carriers' compliance and certification processes rather than providing direct financial support or capital programs.",3.0
2024 Regular Session,HB0026,"Small, Minority, and Women-Owned Businesses Account - Alterations","Altering the type of financial assistance that may be provided by eligible fund managers who receive grants from the Small, Minority, and Women-Owned Businesses Account in the Department of Commerce to allow grants of up to $10,000 in conjunction with a loan.","The bill modifies the Small, Minority, and Women–Owned Businesses Account managed by the Maryland Department of Commerce, allowing eligible fund managers to provide financial assistance in the form of loans and grants, with specific provisions for disaster and emergency areas, and for clean energy businesses.",True,2024,2024,10000000.0,Maryland Department of Commerce,"Small, minority, women–owned, and veteran–owned businesses in Maryland, especially in disaster/emergency areas and the clean energy industry.","The bill has a high potential to impact small business access to capital by providing grants and loans through designated fund managers, especially in targeted areas and industries.",8.0
