BillNumber,ChapterNumber,CrossfileBillNumber,SponsorPrimary,Sponsors,Synopsis,Title,Status,CommitteePrimaryOrigin,CommitteeSecondaryOrigin,CommitteePrimaryOpposite,CommitteeSecondaryOpposite,FirstReadingDateHouseOfOrigin,HearingDateTimePrimaryHouseOfOrigin,HearingDateTimeSecondaryHouseOfOrigin,ReportDateHouseOfOrigin,ReportActionHouseOfOrigin,SecondReadingDateHouseOfOrigin,SecondReadingActionHouseOfOrigin,ThirdReadingDateHouseOfOrigin,ThirdReadingActionHouseOfOrigin,FirstReadingDateOppositeHouse,HearingDateTimePrimaryOppositeHouse,HearingDateTimeSecondaryOppositeHouse,ReportDateOppositeHouse,ReportActionOppositeHouse,SecondReadingDateOppositeHouse,SecondReadingActionOppositeHouse,ThirdReadingDateOppositeHouse,ThirdReadingActionOppositeHouse,InteractionBetweenChambers,PassedByMGA,EmergencyBill,ConstitutionalAmendment,BroadSubjects,NarrowSubjects,BillType,BillVersion,Statutes,YearAndSession,StatusCurrentAsOf
HB0001,CH0587,SB0325,Delegate Boyce,"[{'Name': 'Delegate Boyce'}, {'Name': 'Delegate Charkoudian'}, {'Name': 'Delegate Ebersole'}, {'Name': 'Delegate Lehman'}, {'Name': 'Delegate Lewis, R.'}, {'Name': 'Delegate Stein'}, {'Name': 'Delegate Terrasa'}]","Requiring producers of architectural paint or a representative organization to submit a plan for the establishment of a Paint Stewardship Program to the Department of the Environment by July 1, 2025, and in accordance with certain requirements; requiring the Department to review and approve certain plans, including a certain assessment; prohibiting the sale of certain architectural paint beginning January 1, 2026 unless an approved Paint Stewardship Program has been implemented by certain producers; etc.",Maryland Paint Stewardship,Approved by the Governor - Chapter 587,Environment and Transportation,Economic Matters,"Education, Energy, and the Environment",,2024-01-10,2024-02-07T14:30:00,,2024-02-19,Favorable,2024-02-21,Passed,2024-02-23,Passed,2024-02-16,,,2024-03-27,Favorable,2024-03-13,Passed,2024-03-14,Passed,Returned Passed,True,False,False,"[{'Code': 'm3', 'Name': 'Environment'}]","[{'Code': 'assessments', 'Name': 'Assessments -see also- Property Tax'}, {'Code': 'auditoa', 'Name': 'Auditors and Audits'}, {'Code': 'boundaries', 'Name': 'Boundaries'}, {'Code': 'commerb', 'Name': 'Commerce and Business -see also- ElectrComm; ForTrade; etc.'}, {'Code': 'construction', 'Name': 'Construction'}, {'Code': 'contractors', 'Name': 'Contractors -see also- Construct; Electricians; etc.'}, {'Code': 'contracts', 'Name': 'Contracts -see also- Procurement'}, {'Code': 'data', 'Name': 'Data -see also- Census; Demographics'}, {'Code': 'disclosure', 'Name': 'Disclosure'}, {'Code': 'education', 'Name': 'Education -see also- ContEd; DrvEd; HigherEd; Lit; etc.'}, {'Code': 'electrc', 'Name': 'Electronic Commerce -see also- Electronic Funds Transfer'}, {'Code': 'electrg', 'Name': 'Electronic Government'}, {'Code': 'envirod', 'Name': 'Environment, Department of the'}, {'Code': 'envirom', 'Name': 'Environmental Matters -see also- Conserv; Nat Resrce; Pollut'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes""}, {'Code': 'hazardts', 'Name': 'Hazardous and Toxic Substances -see also- Asbestos; Radiatn '}, {'Code': 'homei', 'Name': 'Home Improvement'}, {'Code': 'industt', 'Name': 'Industry and Technology'}, {'Code': 'internet', 'Name': 'Internet -see also- Internet Access'}, {'Code': 'liability', 'Name': 'Liability'}, {'Code': 'nonproo', 'Name': 'Nonprofit Organizations'}, {'Code': 'opengov', 'Name': 'Open Government'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}, {'Code': 'prices', 'Name': 'Prices -see also- Consumer Price Index'}, {'Code': 'privacy', 'Name': 'Privacy'}, {'Code': 'publici', 'Name': 'Public Information'}, {'Code': 'recycling', 'Name': 'Recycling'}, {'Code': 'refused', 'Name': 'Refuse Disposal -see also- Recycling'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'retails', 'Name': 'Retail Sales'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- (specific tax)'}, {'Code': 'time', 'Name': 'Time'}, {'Code': 'transportatio', 'Name': 'Transportation -see also- Aircraft; Airports; Boats; etc'}, {'Code': 'weightm', 'Name': 'Weights and Measures'}, {'Code': 'wholesd', 'Name': 'Wholesale Distribution'}]",Pre-Filed,T,"[{'Article': {'Code': 'gen', 'Title': 'Environment'}, 'Sections': [{'Section': '9-1701'}, {'Section': '9-1702'}, {'Section': '9-1705'}, {'Section': '9-1707'}, {'Section': '9-1733'}, {'Section': '9-1734'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0002,CH0277,SB0138,Delegate Boyce,"[{'Name': 'Delegate Boyce'}, {'Name': 'Delegate Clippinger'}, {'Name': 'Delegate Conaway'}, {'Name': 'Delegate Lewis, R.'}]","Authorizing the Mayor and City Council of Baltimore City or the governing body of a county to establish, by law, a subclass of real property consisting of vacant lots or improved property cited as vacant and unfit for habitation or other authorized use on a certain violation notice and to set a special property tax rate for certain vacant and abandoned property; requiring the Mayor and City Council of Baltimore City or the governing body of a county that enacts a special tax rate to submit a certain report by December 1 each year; etc.",Property Taxes - Authority of Counties to Establish a Subclass and Set a Special Rate for Vacant and Abandoned Property,Approved by the Governor - Chapter 277,Ways and Means,,Budget and Taxation,,2024-01-10,2024-01-25T13:00:00,,2024-03-12,Favorable with Amendments,2024-03-03,Passed with Amendments,2024-03-06,Passed,2024-03-04,,,2024-03-29,Favorable with Amendments,2024-03-14,Passed with Amendments,2024-03-16,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'q2', 'Name': 'Taxes - Property - Local'}]","[{'Code': 'abandop', 'Name': 'Abandoned Property'}, {'Code': 'baltimci', 'Name': 'Baltimore City'}, {'Code': 'condemnation', 'Name': 'Condemnation'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties; etc.'}, {'Code': 'debtm', 'Name': 'Debt Management'}, {'Code': 'interest', 'Name': 'Interest'}, {'Code': 'lawso', 'Name': 'Laws and Ordinances -see also- Pub Local Laws; Uniform Laws'}, {'Code': 'personp', 'Name': 'Personal Property'}, {'Code': 'propert', 'Name': 'Property Tax'}, {'Code': 'realp', 'Name': 'Real Property'}, {'Code': 'reports', 'Name': 'Reports'}]",Pre-Filed,E,"[{'Article': {'Code': 'gtp', 'Title': 'Tax - Property'}, 'Sections': [{'Section': '6-202.1'}, {'Section': '6-302'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0004,CH0363,SB0543,"Delegate Lewis, J.","[{'Name': 'Delegate Lewis, J.'}]",Prohibiting institutions of higher education that receive State funds from considering a legacy preference or donor preference as an eligible criterion for admissions standards at the institution; and allowing an institution of higher education to ask applicants for information regarding familial relationships to alums of the institution for data collection purposes.,Institutions of Higher Education - Admissions Standards - Prohibition on Consideration of Legacy Preference or Donor Preference,Approved by the Governor - Chapter 363,Appropriations,,"Education, Energy, and the Environment",,2024-01-10,2024-01-30T13:00:00,,2024-02-12,Favorable with Amendments,2024-02-13,Passed with Amendments,2024-02-15,Passed,2024-02-11,,,2024-04-05,Favorable,2024-03-21,Passed,2024-03-22,Passed,Returned Passed,True,False,False,"[{'Code': 'f2', 'Name': 'Higher Education'}]","[{'Code': 'appeals', 'Name': 'Appeals -see also- Judicial Review'}, {'Code': 'communc', 'Name': 'Community Colleges'}, {'Code': 'data', 'Name': 'Data -see also- Census; Demographics'}, {'Code': 'education', 'Name': 'Education -see also- ContEd; DrvEd; HigherEd; Lit; etc.'}, {'Code': 'gifts', 'Name': 'Gifts'}, {'Code': 'highere', 'Name': 'Higher Education -see also- Comm Colleges; Med Schools; etc.'}, {'Code': 'kinship', 'Name': 'Kinship -see also- Parents and Guardians'}, {'Code': 'meetings', 'Name': 'Meetings -see also- Hearings; Open Government'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'opengov', 'Name': 'Open Government'}, {'Code': 'publicbf', 'Name': 'Public Buildings and Facilities -see also- Stadiums; St Hse '}, {'Code': 'publico', 'Name': 'Public Officials -see also- Atty Gen; Compt; Coun Admin; etc'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'standabp', 'Name': 'Standards and Best Practices'}, {'Code': 'stateuc', 'Name': 'State Universities and Colleges'}, {'Code': 'students', 'Name': 'Students'}]",Pre-Filed,T,"[{'Article': {'Code': 'ged', 'Title': 'Education'}, 'Sections': [{'Section': '10-101'}, {'Section': '26-901'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0005,CH0858,SB0130,Delegate Crosby,[{'Name': 'Delegate Crosby'}],"Prohibiting a person from committing the common law crime of indecent exposure; prohibiting a person from, with prurient intent, committing the common law crime of indecent exposure when the person knows or reasonably should know that a minor is present and the minor is at least 2 years old and is more than 4 years younger than the person; and establishing a penalty of 5 years of imprisonment or a fine of up to $10,000 or both on conviction for a crime of indecent exposure in the presence of a minor.",Criminal Law - Indecent Exposure Within the Presence of a Minor,Approved by the Governor - Chapter 858,Judiciary,,Judicial Proceedings,,2024-01-10,2024-01-23T13:00:00,,2024-03-04,Favorable,2024-02-26,Passed,2024-02-28,Passed,2024-02-25,,,2024-03-29,Favorable,2024-03-15,Passed,2024-03-18,Passed,Returned Passed,True,False,False,"[{'Code': 'e1', 'Name': 'Criminal Law - Substantive Crimes'}]","[{'Code': 'crimesp', 'Name': 'Crimes and Punishments -see also- Penalties and Sentnc; etc.'}, {'Code': 'minors', 'Name': 'Minors -see also- Age of Majority; Youth'}, {'Code': 'nuditysd', 'Name': 'Nudity and Sexual Displays -see also- Obscenity; Pornography'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}]",Pre-Filed,T,"[{'Article': {'Code': 'gcr', 'Title': 'Criminal Law'}, 'Sections': [{'Section': '11-107'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0007,CH0212,SB0203,Delegate Stewart,"[{'Name': 'Delegate Stewart'}, {'Name': 'Delegate Addison'}, {'Name': 'Delegate Allen'}, {'Name': 'Delegate Boyce'}, {'Name': 'Delegate Foley'}, {'Name': 'Delegate Healey'}, {'Name': 'Delegate Holmes'}, {'Name': 'Delegate Lehman'}, {'Name': 'Delegate Love'}, {'Name': 'Delegate Ruth'}, {'Name': 'Delegate Stein'}]","Establishing the Housing Innovation Fund to provide loans for local housing authorities and county governments to develop mixed-income, cross-subsidized housing; establishing the Housing Innovation Pilot Program in the Department of Housing and Community Development to assist public housing authorities and county governments in increasing housing production and to reward counties pursuing solutions to the problem of housing scarcity; authorizing the Governor to include an appropriation of $5,000,000 to the Fund in certain fiscal years; etc.",Housing Innovation Pilot Program and Housing Innovation Fund - Establishment (Housing Innovation Pilot Program Act of 2024),Approved by the Governor - Chapter 212,Environment and Transportation,,"Education, Energy, and the Environment",,2024-01-10,2024-01-30T14:00:00,,2024-03-04,Favorable with Amendments,2024-02-26,Passed with Amendments,2024-02-28,Passed,2024-02-25,,,2024-04-05,Favorable with Amendments,2024-03-21,Passed with Amendments,2024-03-22,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'c9', 'Name': 'Housing and Community Development'}]","[{'Code': 'appropriation', 'Name': 'Appropriations'}, {'Code': 'bonds', 'Name': 'Bonds -see also- County & Baltimore City Bonds; State Bonds'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties; etc.'}, {'Code': 'forms', 'Name': 'Forms'}, {'Code': 'governor', 'Name': 'Governor'}, {'Code': 'housincdd', 'Name': 'Housing and Community Development, Department of'}, {'Code': 'housing', 'Name': 'Housing -see also- Apartments; Condos; Mobile & Manuf  Homes'}, {'Code': 'loans', 'Name': 'Loans -see also- Credit; Mortgages; Scholarships&SFA'}, {'Code': 'lowincome', 'Name': 'Low-Income'}, {'Code': 'municic', 'Name': 'Municipal Corporations -see also- Annap; Balt; Hager; OC'}, {'Code': 'pilotpro', 'Name': 'Pilot Programs'}, {'Code': 'properdev', 'Name': 'Property Developers'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- (specific tax)'}, {'Code': 'statea', 'Name': 'State Aid -see also- Public Benefits'}, {'Code': 'sunset', 'Name': 'Sunset'}, {'Code': 'taxc', 'Name': 'Tax Credits'}]",Pre-Filed,E,"[{'Article': {'Code': 'ghs', 'Title': 'Housing and Community Development'}, 'Sections': [{'Section': '4-3001 through 4-3005'}, {'Section': '4-512'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0013,CH0287,SB0199,"Delegate Lewis, R.","[{'Name': 'Delegate Lewis, R.'}]",Authorizing a condominium regime to be established on certain land owned by an affordable housing land trust.,Residential Property - Affordable Housing Land Trusts - Authority to Establish Condominium Regimes,Approved by the Governor - Chapter 287,Environment and Transportation,,Judicial Proceedings,,2024-01-10,2024-01-30T14:00:00,,2024-02-07,Favorable,2024-02-08,Passed,2024-02-13,Passed,2024-02-09,2024-03-26T13:00:00,,2024-03-27,Favorable,2024-03-13,Passed,2024-03-18,Passed,Returned Passed,True,False,False,"[{'Code': 'n1', 'Name': 'Real Property'}]","[{'Code': 'condominiums', 'Name': 'Condominiums'}, {'Code': 'coopera', 'Name': 'Cooperative Associations'}, {'Code': 'housing', 'Name': 'Housing -see also- Apartments; Condos; Mobile & Manuf  Homes'}, {'Code': 'landr', 'Name': 'Land Records -see also- Deeds'}, {'Code': 'lowincome', 'Name': 'Low-Income'}, {'Code': 'realp', 'Name': 'Real Property'}, {'Code': 'residep', 'Name': 'Residential Property -see also- Apartments; Condominiums'}]",Pre-Filed,T,"[{'Article': {'Code': 'grp', 'Title': 'Real Property'}, 'Sections': [{'Section': '11-102'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0016,CH0856,,Delegate Kaiser,[{'Name': 'Delegate Kaiser'}],Requiring each collector of property taxes to include with each property tax bill a separate insert that describes the Homeowner Protection Program and encourages taxpayers to make a voluntary donation to the Program through a website maintained by the State Department of Assessments and Taxation.,Tax Sales - Homeowner Protection Program - Funding,Approved by the Governor - Chapter 856,Ways and Means,,Budget and Taxation,,2024-01-10,2024-02-01T13:00:00,,2024-02-19,Favorable,2024-02-20,Passed,2024-02-22,Passed,2024-02-15,2024-03-26T12:00:00,,2024-04-04,Favorable with Amendments,2024-03-20,Passed with Amendments,2024-03-21,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'q1', 'Name': 'Taxes - Property'}]","[{'Code': 'assesstd', 'Name': 'Assessments and Taxation, Department of'}, {'Code': 'develodp', 'Name': 'Developmentally Disabled Persons'}, {'Code': 'elderlp', 'Name': 'Elderly Persons -see also- Elder Abuse and Neglect'}, {'Code': 'electrg', 'Name': 'Electronic Government'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes""}, {'Code': 'lowincome', 'Name': 'Low-Income'}, {'Code': 'ombudsmen', 'Name': 'Ombudsmen'}, {'Code': 'physicdp', 'Name': 'Physically Disabled Persons -see also- BlindPers; DeafPers'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- (specific tax)'}, {'Code': 'taxs', 'Name': 'Tax Sales'}]",Pre-Filed,E,"[{'Article': {'Code': 'gtp', 'Title': 'Tax - Property'}, 'Sections': [{'Section': '14-891'}, {'Section': '4-201.1'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0017,CH0090,SB0274,"Chair, Environment and Transportation Committee","[{'Name': 'Chair, Environment and Transportation Committee'}, {'Name': 'Planning'}, {'Name': 'Departmental'}]","Altering requirements for the housing element of a charter county's comprehensive plan to include requirements related to affirmatively furthering fair housing; requiring the housing element of a comprehensive plan that is enacted or amended on or after January 1, 2025, to include an assessment of fair housing to ensure that the county is affirmatively furthering fair housing; etc.",Charter Counties - Comprehensive Plans - Affirmatively Furthering Fair Housing,Approved by the Governor - Chapter 90,Environment and Transportation,,"Education, Energy, and the Environment",,2024-01-10,2024-02-06T13:30:00,,2024-02-19,Favorable,2024-02-20,Passed,2024-02-22,Passed,2024-02-15,,,2024-04-02,Favorable,2024-03-16,Passed,2024-03-19,Passed,Returned Passed,True,False,False,"[{'Code': 'c9', 'Name': 'Housing and Community Development'}, {'Code': 'l1', 'Name': 'Counties - Generally'}]","[{'Code': 'chartec', 'Name': 'Chartered Counties -see also- AACo; BCity; BCo; HarfCo; etc.'}, {'Code': 'civilrse', 'Name': 'Civil Rights and Social Equity'}, {'Code': 'commund', 'Name': 'Community Development'}, {'Code': 'discriminatio', 'Name': 'Discrimination'}, {'Code': 'housincdd', 'Name': 'Housing and Community Development, Department of'}, {'Code': 'housing', 'Name': 'Housing -see also- Apartments; Condos; Mobile & Manuf  Homes'}, {'Code': 'localgm', 'Name': 'Local Government Mandates'}, {'Code': 'plannid', 'Name': 'Planning, Department of'}]",Pre-Filed,T,"[{'Article': {'Code': 'glu', 'Title': 'Land Use'}, 'Sections': [{'Section': '1-405'}, {'Section': '1-406'}, {'Section': '1-407.1'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0019,CH0572,SB0207,"Delegate Morgan, T.","[{'Name': 'Delegate Morgan, T.'}, {'Name': 'Delegate Addison'}, {'Name': 'Delegate Allen'}, {'Name': 'Delegate Boyce'}, {'Name': 'Delegate Ciliberti'}, {'Name': 'Delegate Foley'}, {'Name': 'Delegate Guyton'}, {'Name': 'Delegate Healey'}, {'Name': 'Delegate Holmes'}, {'Name': 'Delegate Jacobs'}, {'Name': 'Delegate Korman'}, {'Name': 'Delegate Lehman'}, {'Name': 'Delegate Long, J.'}, {'Name': 'Delegate Love'}, {'Name': 'Delegate Nawrocki'}, {'Name': 'Delegate Otto'}, {'Name': 'Delegate Ruth'}, {'Name': 'Delegate Stein'}, {'Name': 'Delegate Stewart'}, {'Name': 'Delegate Terrasa'}, {'Name': 'Delegate Ziegler'}]","Establishing the common name of the northern snakehead as the ""Chesapeake Channa"".",Natural Resources - Northern Snakehead - Common Name,Approved by the Governor - Chapter 572,Environment and Transportation,,"Education, Energy, and the Environment",,2024-01-10,2024-01-31T14:30:00,,2024-02-12,Favorable with Amendments,2024-02-13,Passed with Amendments,2024-02-15,Passed,2024-02-11,,,2024-03-27,Favorable,2024-03-12,Passed,2024-03-13,Passed,Returned Passed,True,False,False,"[{'Code': 'm2', 'Name': 'Hunting and Fishing'}]","[{'Code': 'anneac', 'Name': 'Anne Arundel County'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes""}, {'Code': 'fishf', 'Name': 'Fish and Fishing -see also- Aquaculture; FishNets&Dev'}, {'Code': 'fishinnd', 'Name': 'Fishing Nets and Devices'}, {'Code': 'forms', 'Name': 'Forms'}, {'Code': 'licenses', 'Name': 'Licenses -see also- AB Lic; Certifications; DrLic; Permits'}, {'Code': 'names', 'Name': 'Names'}, {'Code': 'naturar', 'Name': 'Natural Resources -see also- Coal; For&Pks; Rivers; etc.'}, {'Code': 'naturard', 'Name': 'Natural Resources, Department of'}, {'Code': 'publications', 'Name': 'Publications -see also- Maryland Register; Textbooks'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}]",Pre-Filed,T,"[{'Article': {'Code': 'gnr', 'Title': 'Natural Resources'}, 'Sections': [{'Section': '4-701.1'}, {'Section': '4-714'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
HB0022,CH0553,SB0178,Delegate Ruth,"[{'Name': 'Delegate Ruth'}, {'Name': 'Delegate Ebersole'}, {'Name': 'Delegate Foley'}, {'Name': 'Delegate Guyton'}, {'Name': 'Delegate Hill'}, {'Name': 'Delegate Lehman'}, {'Name': 'Delegate McComas'}, {'Name': 'Delegate Palakovich Carr'}, {'Name': 'Delegate Pasteur'}, {'Name': 'Delegate Pena-Melnyk'}, {'Name': 'Delegate Solomon'}, {'Name': 'Delegate Taylor'}, {'Name': 'Delegate Terrasa'}, {'Name': 'Delegate Wu'}, {'Name': 'Delegate Ziegler'}, {'Name': 'Delegate Allen'}, {'Name': 'Delegate Healey'}, {'Name': 'Delegate Stein'}]","Requiring the State Highway Administration's pollinator habitat plan to include policies and procedures regarding the use of pollinator habitat areas along State highways; requiring the Administration to track and evaluate federal programs that provide funding for pollinator habitats, native plants, and invasive species control and to apply for any funding that the Administration determines appropriate and beneficial to pollinator habitats; requiring the Administration to update the plan by October 1 each year; etc.",Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration,Approved by the Governor - Chapter 553,Environment and Transportation,,Finance,"Education, Energy, and the Environment",2024-01-10,2024-02-07T14:30:00,,2024-03-11,Favorable with Amendments,2024-03-01,Passed with Amendments,2024-03-02,Passed,2024-02-29,,,2024-04-01,Favorable,2024-03-16,Passed,2024-03-19,Passed,Returned Passed,True,False,False,"[{'Code': 'm4', 'Name': 'Agriculture'}, {'Code': 'r1', 'Name': 'Transportation - Highways'}]","[{'Code': 'agriculture', 'Name': 'Agriculture -see also- Cannabis Production'}, {'Code': 'awareno', 'Name': 'Awareness and Outreach'}, {'Code': 'boundaries', 'Name': 'Boundaries'}, {'Code': 'communication', 'Name': 'Communications -see also- ElecComm; Intergov; Telecom; etc.'}, {'Code': 'electrcom', 'Name': 'Electronic Communication'}, {'Code': 'electrg', 'Name': 'Electronic Government'}, {'Code': 'envirom', 'Name': 'Environmental Matters -see also- Conserv; Nat Resrce; Pollut'}, {'Code': 'federag', 'Name': 'Federal Government'}, {'Code': 'grants', 'Name': 'Grants'}, {'Code': 'highways', 'Name': 'Highways'}, {'Code': 'insects', 'Name': 'Insects -see also- Bees; Pest Control'}, {'Code': 'internet', 'Name': 'Internet -see also- Internet Access'}, {'Code': 'invasis', 'Name': 'Invasive Species -see also- Animals; Insects; Plants'}, {'Code': 'plants', 'Name': 'Plants -see also- Invasive Species; Trees; Weeds'}, {'Code': 'publici', 'Name': 'Public Information'}, {'Code': 'safety', 'Name': 'Safety -see also- Occupational Safety'}, {'Code': 'signsb', 'Name': 'Signs and Billboards'}, {'Code': 'socialmedia', 'Name': 'Social Media'}, {'Code': 'standabp', 'Name': 'Standards and Best Practices'}, {'Code': 'stateha', 'Name': 'State Highway Administration'}, {'Code': 'studies', 'Name': 'Studies -see also- Commitees & Commissions; Reports'}]",Pre-Filed,T,"[{'Article': {'Code': 'gag', 'Title': 'Agriculture'}, 'Sections': [{'Section': '2-1801'}]}]",2024 Regular Session,2024-11-13T09:05:06.703
