YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2024 Regular Session,HB0001,Maryland Paint Stewardship,"Requiring producers of architectural paint or a representative organization to submit a plan for the establishment of a Paint Stewardship Program to the Department of the Environment by July 1, 2025, and in accordance with certain requirements; requiring the Department to review and approve certain plans, including a certain assessment; prohibiting the sale of certain architectural paint beginning January 1, 2026 unless an approved Paint Stewardship Program has been implemented by certain producers; etc.","The bill establishes a Maryland Paint Stewardship Program requiring producers of architectural paint to submit a plan for managing postconsumer paint, including assessments and collection processes. It creates a funding and oversight structure, including a Department review, reporting, and enforcement provisions, to promote recycling, reuse, and proper disposal of architectural paint.",True,2024,2028,2000000.0,Department of the Environment,"Producers, retailers, consumers, and residents of Maryland who purchase or dispose of architectural paint","This program employs an extended producer responsibility approach, requiring producers to manage postconsumer paint through planned collection, recycling, and disposal, supported by assessments and independent audits.",4,"The program could reduce health and environmental risks associated with improperly disposed paint, potentially benefiting children in affected communities.",3
2024 Regular Session,HB0002,Property Taxes - Authority of Counties to Establish a Subclass and Set a Special Rate for Vacant and Abandoned Property,"Authorizing the Mayor and City Council of Baltimore City or the governing body of a county to establish, by law, a subclass of real property consisting of vacant lots or improved property cited as vacant and unfit for habitation or other authorized use on a certain violation notice and to set a special property tax rate for certain vacant and abandoned property; requiring the Mayor and City Council of Baltimore City or the governing body of a county that enacts a special tax rate to submit a certain report by December 1 each year; etc.","The bill authorizes Baltimore City and Maryland counties to establish a special property tax rate for vacant and abandoned properties, and requires annual reporting on these rates and properties.",True,2024,0,0.0,Baltimore City and Maryland counties' local government authorities,"Property owners of vacant and abandoned properties, local governments, and communities affected by vacant properties","The bill introduces a targeted tax rate for vacant and abandoned properties, designed to incentivize redevelopment and improve community conditions.",3,"The program has potential to improve community stability and property value, which can benefit children indirectly.",2
2024 Regular Session,HB0004,Institutions of Higher Education - Admissions Standards - Prohibition on Consideration of Legacy Preference or Donor Preference,Prohibiting institutions of higher education that receive State funds from considering a legacy preference or donor preference as an eligible criterion for admissions standards at the institution; and allowing an institution of higher education to ask applicants for information regarding familial relationships to alums of the institution for data collection purposes.,"The bill prohibits Maryland institutions of higher education receiving state funds from considering legacy or donor preferences as criteria in admissions decisions, effective July 1, 2024.",True,2024,2024,0.0,Maryland State Department of Higher Education,"Prospective college applicants in Maryland, institutions of higher education, families of applicants","This bill implements a policy change by banning legacy and donor preferences in college admissions, emphasizing fairness and equal opportunity. It employs existing legal frameworks without introducing new technologies.",2,"The bill potentially promotes more equitable college admissions, which can indirectly impact child poverty by expanding access to higher education.",3
2024 Regular Session,HB0005,Criminal Law - Indecent Exposure Within the Presence of a Minor,"Prohibiting a person from committing the common law crime of indecent exposure; prohibiting a person from, with prurient intent, committing the common law crime of indecent exposure when the person knows or reasonably should know that a minor is present and the minor is at least 2 years old and is more than 4 years younger than the person; and establishing a penalty of 5 years of imprisonment or a fine of up to $10,000 or both on conviction for a crime of indecent exposure in the presence of a minor.",The bill enhances laws against indecent exposure by prohibiting it when a person with prurient intent knows or reasonably should know that a minor of at least 2 years old and more than 4 years younger than the person is present. It increases penalties for violations.,False,2024,2024,0.0,Maryland Department of Public Safety and Correctional Services,"General public, especially minors and offenders involved in indecent exposure crimes","The bill primarily amends existing criminal laws to improve clarity and increase penalties, without employing new technologies or approaches.",1,The bill is not directly related to child poverty but aims to protect minors from harmful acts.,1
2024 Regular Session,HB0007,Housing Innovation Pilot Program and Housing Innovation Fund - Establishment (Housing Innovation Pilot Program Act of 2024),"Establishing the Housing Innovation Fund to provide loans for local housing authorities and county governments to develop mixed-income, cross-subsidized housing; establishing the Housing Innovation Pilot Program in the Department of Housing and Community Development to assist public housing authorities and county governments in increasing housing production and to reward counties pursuing solutions to the problem of housing scarcity; authorizing the Governor to include an appropriation of $5,000,000 to the Fund in certain fiscal years; etc.","The bill establishes the Housing Innovation Pilot Program and the Housing Innovation Fund to provide loans for developing mixed-income, cross-subsidized housing in Maryland. It aims to increase housing production through innovative strategies and funding.",True,2024,2029,15000000.0,Department of Housing and Community Development,"Local housing authorities, county governments, and low- to moderate-income households seeking affordable housing","The program employs a new approach by focusing on innovative, mixed-income, cross-subsidized housing projects without relying on traditional tax credits or tax-exempt volume caps, and prioritizes projects that remain in public ownership.",4,"The program has high potential to impact child poverty by increasing access to affordable, stable housing for low-income families.",4
2024 Regular Session,HB0013,Residential Property - Affordable Housing Land Trusts - Authority to Establish Condominium Regimes,Authorizing a condominium regime to be established on certain land owned by an affordable housing land trust.,"This bill authorizes the establishment of condominium regimes on properties owned by affordable housing land trusts, facilitating the development of affordable housing.",True,2024,0,0.0,Maryland State Land Trusts or relevant local authorities involved with affordable housing,"Affordable housing residents, land trusts, property developers, local governments","The bill enables the creation of condominium regimes specifically on land trust properties, which is a new approach to leveraging land trusts for affordable housing development.",3,"Potentially high impact by increasing affordable housing options, which can help reduce child poverty.",4
2024 Regular Session,HB0016,Tax Sales - Homeowner Protection Program - Funding,Requiring each collector of property taxes to include with each property tax bill a separate insert that describes the Homeowner Protection Program and encourages taxpayers to make a voluntary donation to the Program through a website maintained by the State Department of Assessments and Taxation.,"This bill enhances the Homeowner Protection Program by requiring property tax bills to include information about the program and encouraging voluntary donations through a website. It establishes funding for the program through various sources, including donations and fees collected from tax sale certificates.",True,2024,2025,2250000.0,"State Department of Assessments and Taxation, Office of the State Tax Sale Ombudsman","Low–income, elderly, and disabled homeowners at risk of tax sale foreclosure",The program employs a new approach by integrating a donation interface into tax billing and creating an online platform for voluntary contributions to support homeowner protection efforts.,4,The program has high potential to directly impact child poverty by helping prevent low-income families from losing their homes which could lead to improved stability for children.,4
2024 Regular Session,HB0017,Charter Counties - Comprehensive Plans - Affirmatively Furthering Fair Housing,"Altering requirements for the housing element of a charter county's comprehensive plan to include requirements related to affirmatively furthering fair housing; requiring the housing element of a comprehensive plan that is enacted or amended on or after January 1, 2025, to include an assessment of fair housing to ensure that the county is affirmatively furthering fair housing; etc.","The bill requires charter counties in Maryland to include fair housing considerations in their comprehensive plans. Starting in 2025, these plans must assess fair housing and demonstrate efforts to further fair housing, including addressing affordable housing needs. Counties that have previously completed fair housing assessments must incorporate those into their plans.",True,2024,9999,0.0,"Maryland Department of Planning, Maryland Department of Housing and Community Development","Residents of charter counties, particularly those seeking fair housing and affordable housing options","The bill introduces a mandated integration of fair housing assessments into county comprehensive planning, emphasizing compliance with federal fair housing efforts, which is a progressive approach to enforcing fair housing policies.",3,The program has a moderate potential to impact child poverty by promoting equitable housing opportunities and addressing affordable housing needs.,3
2024 Regular Session,HB0019,Natural Resources - Northern Snakehead - Common Name,"Establishing the common name of the northern snakehead as the ""Chesapeake Channa"".","The bill establishes a new common name for the northern snakehead fish as 'Chesapeake Channa' and requires the Department of Natural Resources to adopt regulations reflecting this new name by January 1, 2025. It also introduces a licensing system for commercial fishing of the species, with specific regulations on fishing methods, licensing fees, and geographic restrictions.",True,2024,2025,0.0,Maryland Department of Natural Resources,"Commercial fishers, conservation agencies, general public","The bill employs a new approach by officially changing the common name of a fish species and establishing specific regulations and licensing for its commercial harvest, integrating regulatory updates with species management.",3,The bill has minimal direct impact on child poverty as it mainly pertains to fish naming and licensing regulations.,1
2024 Regular Session,HB0022,Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration,"Requiring the State Highway Administration's pollinator habitat plan to include policies and procedures regarding the use of pollinator habitat areas along State highways; requiring the Administration to track and evaluate federal programs that provide funding for pollinator habitats, native plants, and invasive species control and to apply for any funding that the Administration determines appropriate and beneficial to pollinator habitats; requiring the Administration to update the plan by October 1 each year; etc.","The bill requires the Maryland State Highway Administration to include policies for pollinator habitats along highways, avoid certain pesticides, and track federal funding programs for pollinator habitats. It also mandates updating these plans annually and engaging the public about pollinators.",True,2017,2024,0.0,Maryland State Highway Administration,"Pollinators, highway users, local communities, environment","The bill encourages the development of pollinator habitats along highways, public education, and federal funding tracking, employing integrated conservation and community engagement approaches.",3,The program predominantly focuses on environmental and infrastructural improvements rather than direct child poverty alleviation.,1
