YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2023 Regular Session,HB0001,"Civil Actions - Child Sexual Abuse - Definition, Damages, and Statute of Limitations (The Child Victims Act of 2023)","Altering the definition of ""sexual abuse"" for purposes relating to civil actions for child sexual abuse to include any act that involves an adult allowing or encouraging a child to engage in certain activities; establishing certain limitations on damages that may be awarded under the Act; repealing the statute of limitations in certain civil actions relating to child sexual abuse; repealing a statute of repose for certain civil actions relating to child sexual abuse; providing for the retroactive application of the Act; etc.","The Child Victims Act of 2023 in Maryland extends the time limits for filing civil actions related to child sexual abuse, removes statutes of limitations and repose for such cases, and increases damages caps, especially for sexual abuse claims. It also clarifies definitions and provides retroactive application.","Maryland Courts, Maryland State Department of Education, Maryland State Government","Victims of child sexual abuse, educational institutions, government entities, legal professionals, and the general public in Maryland","The bill's impact on small business failure rates is minimal, as it primarily addresses civil liability and statutes of limitations related to child sexual abuse cases.",2.0
2023 Regular Session,HB0002,Income Tax - Subtraction Modification - Union Dues,"Allowing a subtraction modification under the Maryland income tax for certain union dues paid during the taxable year; and applying the Act to all taxable years beginning after December 31, 2022.","The bill allows Maryland residents to subtract the amount of union dues paid during the taxable year from their Maryland income tax, provided those dues could have been deducted on federal taxes before 2018, with a maximum subtraction of $250.",Maryland Department of Revenue,Union members and Maryland taxpayers who pay union dues,"The bill does not directly impact small business failure rates, as it pertains to individual income tax deductions for union dues.",1.0
2023 Regular Session,HB0003,Maryland State Police Gun Center – Firearms Surrendered Under Final Protective Orders,"Altering the purpose of the Maryland State Police Gun Center to include the tracking, screening, and vetting of all firearms surrendered under final protective orders in the State; and requiring each law enforcement agency to report to the Center the number and type of firearms surrendered, the jurisdictions where the firearms were surrendered, and certain information regarding the individual who surrendered each firearm under final protective orders.","The bill expands the purpose of the Maryland State Police Gun Center to include tracking, screening, and vetting all firearms surrendered under final protective orders in Maryland. It requires law enforcement agencies to report detailed information about these firearms and related crimes to the Center.",Maryland State Police Department,"Law enforcement agencies, firearm owners subject to protective orders, and the general public in Maryland.","The bill does not directly impact small business failure rates, as it primarily involves law enforcement and firearm tracking.",1.0
2023 Regular Session,HB0004,Criminal Law - Sexual Crimes - Repeal of Spousal Defense,Repealing a certain prohibition on prosecuting a person for rape or a certain sexual offense against a victim who was the person's legal spouse at the time of the alleged rape or sexual offense.,"The bill repeals the legal prohibition on prosecuting a person for rape or sexual offenses against their spouse, removing the spousal defense in such cases.",Maryland Department of Public Safety and Correctional Services or the Maryland State's Attorney's Office,"Victims of sexual offenses, particularly spouses, and the legal system involved in prosecuting such crimes.",This bill does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0006,Department of General Services - Energy-Conserving Standards (Maryland Sustainable Buildings Act of 2023),"Requiring the Department of General Services to establish and periodically update standards for State buildings to conserve energy and minimize adverse impacts on birds; requiring the Maryland Green Building Council to include the standards in certain requirements established for the Maryland High Performance Green Building Program; defining ""State building"" as one acquired, constructed, or renovated by the State or one for which 50% of the money for acquisition, construction, or renovation came from State funds; etc.","The Maryland Sustainable Buildings Act of 2023 requires the Department of General Services to establish and update standards for State buildings to conserve energy and minimize adverse impacts on birds, including measures like shielding and minimizing lighting during certain times of the year. It also mandates the inclusion of these standards in the Maryland High Performance Green Building Program.",Department of General Services,"State government agencies, building occupants, environmental and bird conservation groups, taxpayers","The bill primarily targets state buildings and does not directly address small businesses, so its impact on small business failure rates is minimal.",2.0
2023 Regular Session,HB0009,Equity in Transportation Sector - Guidelines and Analyses,"Requiring that equity be considered when State transportation plans, reports, and goals are developed; altering the membership of the advisory committee on State transportation goals; requiring the Maryland Department of Transportation to conduct transit equity analyses, cost-benefit analyses, and consult with certain communities before announcing or proposing any major service change or any reduction or cancellation of a certain capital expansion project in the construction program; etc.","The bill requires the Maryland Department of Transportation and the Maryland Transit Administration to incorporate equity considerations into transportation planning, service changes, and capital project reductions, including conducting analyses, community consultations, and reporting on impacts to disadvantaged groups.",Maryland Department of Transportation and Maryland Transit Administration,"Racial and ethnic minorities, low-income populations, persons with disabilities, seniors, transit riders, and communities affected by transportation policies and projects.",The bill primarily focuses on equity and community impact analyses in transportation planning and does not directly address small business failure rates.,1.0
2023 Regular Session,HB0010,Correctional Officers’ Retirement System – Talbot County,Requiring membership in the Correctional Officers' Retirement System for certain local detention center officers of Talbot County in the event Talbot County becomes a participating governmental unit in the Correctional Officers' Retirement System; and providing that certain local detention center officers who join the Correctional Officers' Retirement System and receive certain service credit shall no longer be members of the Employees' Pension System and shall have no further rights to any benefit in the Employees' Pension System.,"The bill mandates that Talbot County detention center officers become members of the Correctional Officers' Retirement System if the county joins it, replacing their previous membership in the Employees' Pension System.",Maryland State Personnel and Pensions Department,Local detention center officers of Talbot County and the Maryland State Retirement Systems,This bill does not directly impact small businesses or their failure rates.,1.0
2023 Regular Session,HB0011,Private Well Safety Act of 2023,"Requiring the Department of the Environment to adopt regulations by December 31, 2026, to identify additional standards for water quality testing; requiring the Department, subject to certain funding and in consultation with the Department of Information Technology, to utilize an online portal to receive and upload certain information and to provide public access to the information; requiring the Department of the Environment to consistently share the information collected with the Maryland Department of Health and local health departments; etc.","The Private Well Safety Act of 2023 establishes a program and fund to address private well water contamination in Maryland. It requires water quality testing, provides grants for testing and remediation, creates an online portal for data sharing, and mandates disclosure and testing for rental properties and real estate transactions.",Department of the Environment,"Private well owners, residents served by private wells, counties, and tenants in rental properties","The bill primarily focuses on public health and safety through testing, remediation, and data sharing, with limited direct impact on small business failure rates.",2.0
2023 Regular Session,HB0012,Equitable and Inclusive Transit-Oriented Development Enhancement Act,"Repealing the authority of the Secretary of Transportation to designate transit-oriented development; establishing the Transit-Oriented Development Capital Grant and Revolving Loan Fund to promote the equitable and inclusive development of transit-oriented developments; authorizing the Department of Transportation to use the Fund to provide financial assistance to local jurisdictions; requiring the Governor to include in the annual budget bill an amount sufficient to ensure a Fund balance of at least $5,000,000; etc.","The bill establishes a new Transit–Oriented Development Capital Grant and Revolving Loan Fund to promote equitable and inclusive development around transit stations and corridors in Maryland. It provides funding mechanisms, eligibility criteria, and reporting requirements to support transit-related development projects that enhance access and community benefits.",Maryland Department of Transportation,"Residents, local governments, private developers, and communities near transit stations and corridors in Maryland.","The bill's focus on supporting transit-oriented development through grants and loans can help stabilize and grow local economies, potentially reducing small business failures in these areas.",7.0
2023 Regular Session,HB0013,Hate Crimes – Civil Remedy,Providing that a person who is the victim of an act that would constitute a violation of certain hate crime laws may bring a civil action against the person or persons who committed the act in a court of competent jurisdiction; and authorizing the court to impose an injunction and award certain economic and noneconomic damages.,"The bill allows victims of acts that violate hate crime laws in Maryland to file civil lawsuits against the perpetrators, seeking damages and injunctions. It also specifies the types of damages that can be awarded, including economic and noneconomic damages, and allows for damages up to three times the actual damages.",Maryland courts and legal system,Victims of hate crimes in Maryland and the broader community affected by hate crimes,The bill primarily addresses civil remedies for hate crimes and does not directly impact small business failure rates.,1.0
